date,MID_PRICE,high,low,close,volume,openinterest,BID_PRICE_1,BID_SIZE_1,BID_PRICE_2,BID_SIZE_2,BID_PRICE_3,BID_SIZE_3,ASK_PRICE_1,ASK_SIZE_1,ASK_PRICE_2,ASK_SIZE_2,ASK_PRICE_3,ASK_SIZE_3,year,month,day,hour,minute,second,microsecond
1700-11-01,409.475,0,0,0,0,0,409.23,1000,409.22,1500,409.07,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,110669
1700-11-02,409.475,0,0,0,0,0,409.23,1000,409.22,1000,409.07,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,122592
1700-11-03,409.475,0,0,0,0,0,409.24,500,409.23,1000,409.22,1000,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,122593
1700-11-04,409.48,0,0,0,0,0,409.24,500,409.23,1000,409.22,1000,409.29,200,409.72,50,409.89,100,2022,8,1,13,30,2,122595
1700-11-05,409.265,0,0,0,0,0,409.24,500,409.23,1000,409.22,1000,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,122597
1700-11-06,409.48,0,0,0,0,0,409.24,500,409.23,1000,409.22,500,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,127171
1700-11-07,409.48,0,0,0,0,0,409.24,1000,409.23,1000,409.22,500,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,129836
1700-11-08,409.48,0,0,0,0,0,409.24,1000,409.23,1000,409.22,500,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,132389
1700-11-09,409.48,0,0,0,0,0,409.23,2000,409.22,500,409.03,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,137195
1700-11-10,409.475,0,0,0,0,0,409.23,2000,409.03,100,408.99,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,137282
1700-11-11,409.475,0,0,0,0,0,409.24,500,409.23,2000,409.03,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,140827
1700-11-12,409.48,0,0,0,0,0,409.24,1000,409.23,2000,409.03,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,140973
1700-11-13,409.48,0,0,0,0,0,409.24,1200,409.23,2000,409.03,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,155948
1700-11-14,409.48,0,0,0,0,0,409.24,1200,409.23,1500,409.03,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,156377
1700-11-15,409.48,0,0,0,0,0,409.24,1200,409.23,1000,409.03,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,156531
1700-11-16,409.48,0,0,0,0,0,409.24,700,409.23,1000,409.03,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,156532
1700-11-17,409.48,0,0,0,0,0,409.24,200,409.23,1000,409.03,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,159193
1700-11-18,409.48,0,0,0,0,0,409.24,200,409.23,500,409.03,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,159194
1700-11-19,409.48,0,0,0,0,0,409.24,200,409.03,100,408.99,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,159194
1700-11-20,409.48,0,0,0,0,0,409.03,100,408.99,100,408.96,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,159196
1700-11-21,409.375,0,0,0,0,0,409.04,100,409.03,100,408.99,100,409.72,50,409.89,100,409.92,100,2022,8,1,13,30,2,159977
1700-11-22,409.38,0,0,0,0,0,409.04,100,409.03,100,408.99,100,409.3,500,409.72,50,409.89,100,2022,8,1,13,30,2,163099
1700-11-23,409.17,0,0,0,0,0,409.04,100,409.03,100,408.99,100,409.3,1000,409.72,50,409.89,100,2022,8,1,13,30,2,163101
1700-11-24,409.17,0,0,0,0,0,409.04,100,409.03,100,408.99,100,409.3,1200,409.72,50,409.89,100,2022,8,1,13,30,2,163138
